Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;Sexta;2019-12-13;2019-12-15;Dylan;https://twitter.com/DylanNobile_/status/1205654752559816706;Fraude e Vazamento;Moderado;ALERTA 01592/19: (Moderado) Usuário divulga possível link de parceria entre USP e Itaú;112;85;51330;109;37;NA;NA;NA;3;1
Gauge;Sábado;2019-12-14;2019-12-16;Jr Gurgel;https://twitter.com/JrGurgeljornal/status/1205880633848926209;Relações Políticas;Moderado;ALERTA 08593/19: (Moderado) Influenciador volta a relacionar o Itaú ao partido Rede;309;293;707596;307;103;NA;NA;NA;3;1
Gauge;Segunda;2019-12-16;2019-12-18;NA;NA;Institucional;Baixo;ALERTA 07595/19: (Baixo) Repercussão sobre a decisão de Rede, após resolução do Cade;35;30;285790;12;12;NA;NA;NA;3;0
Gauge;Quarta;2019-12-18;2019-12-18;Getúlio Santana;https://twitter.com/getuliosantana/status/1207331883366965248;Fraude e Vazamento;Baixo;ALERTA 01596/19: (Baixo) Influenciador compartilha suposto golpe com maquininhas da Redecard;1;1;12640;0;1;NA;NA;NA;1;0
Gauge;Domingo;2019-12-15;2019-12-30;NA;NA;Comunicação;Extremo;ALERTA 04594/19: (Extremo) Repercussão da campanha de Final de Ano;12990;10423;12306307;12657;812;NA;1;NA;16;18
Gauge;Quarta;2019-12-18;2019-12-28;NA;NA;Atendimento;Baixo;ALERTA 03597/19: (Baixo) Usuários reclamam de SMS e ligações insistentes do Itaú;86;79;81655;19;8;NA;NA;NA;11;5
Gauge;Sábado;2019-12-21;2019-12-26;NA;NA;Relações Políticas;Moderado;ALERTA 08598/19: (Moderado) Itaú é novamente associado à seguradora do DPVAT e partido Rede;159;147;261580;139;27;NA;NA;NA;6;2
Gauge;Segunda;2019-12-23;26/12/0201;NA;NA;Atendimento;Moderado;ALERTA 03599/19: (Moderado) Cliente faz suposta acusação de constrangimento a colaborador do Itaú;273;267;330471;262;68;NA;NA;NA;4;2
Gauge;Sábado;2019-12-28;2019-12-29;NA;NA;Produtos e Serviços;Baixo;ALERTA 06600/19: (Baixo) Relatos de possível extravio e compras suspeitas no cartão;12;3;744;0;2;NA;NA;NA;2;0
Gauge;Quinta;2019-11-14;2019-12-30;NA;NA;Produtos e Serviços;Alto;ALERTA 06568/19: (ALTO) Instabilidade no aplicativo e no site;674;574;686399;40;14;NA;1;NA;47;30
Gauge;Terça;2020-01-14;2020-01-14;Evelin Dias;https://www.facebook.com/1404392109582684/posts/2863153927039821;Diversidade;NA;ALERTA 02612/20: Usuária alega racismo em agência do Rio de Janeiro;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;Quinta;2020-01-23;2020-01-29;NA;NA;Institucional;Extremo;ALERTA 07623/19: (Extremo) Moradores de BH voltam a reclamar da retirada do relógio;2218;1997;1920952;2109;317;NA;1;NA;7;6
Gauge;Quinta;2020-01-02;2020-01-06;NA;NA;Relações Políticas;Extremo;ALERTA 08601/20: (Extremo) Influenciador critica o STF e menciona o Itaú;1104;1049;1819566;1077;221;NA;1;NA;5;4
Gauge;Domingo;2020-01-05;2020-01-29;NA;NA;Relações Políticas;Alto;ALERTA 08605/20: (ALTO) Suposto empréstimo ao BNDES volta a repercutir;935;865;1633851;877;43;NA;1;NA;25;21
Gauge;Quarta;2020-01-15;2020-01-22;NA;NA;Comunicação;Alto;ALERTA 04614/20: (ALTO) Usuários criticam campanha Dia do Adulto;809;683;1577453;356;90;NA;1;NA;8;9
Gauge;Segunda;2020-01-13;2020-01-15;NA;NA;Relações Políticas;Alto;ALERTA 08611/20: (ALTO) Influenciador supõe campanha indireta entre Itaú e Mamãe Falei;447;377;647006;431;149;NA;1;NA;3;2
Gauge;Quarta;2020-01-29;2020-01-30;NA;NA;Institucional;Alto;ALERTA 07629/20: (ALTO) Repercussão sobre críticas ao relatório da XP Investimentos;397;394;1265827;391;199;NA;1;NA;2;1
Gauge;Segunda;2020-01-06;2020-01-13;NA;NA;Institucional;Alto;ALERTA 07606/20: (ALTO) Influenciador critica lucros de 2020;340;335;742300;337;43;NA;1;NA;8;5
Gauge;Quarta;2020-01-01;2020-01-29;NA;NA;Produtos e Serviços;Moderado;ALERTA 06603/20: (Moderado) Usuários reclamam de instabilidade no app e site;287;236;306415;5;10;NA;NA;NA;29;26
Gauge;Sexta;2020-01-24;2020-01-29;NA;NA;Institucional;Moderado;ALERTA 07626/20: (Moderado) Repercussão sobre pronunciamento do presidente do Itaú em Davos;284;263;8349230;144;47;NA;NA;NA;6;3
Gauge;Sexta;2020-01-03;2020-01-05;NA;NA;Relações Políticas;Moderado;ALERTA 08604/20: (Moderado) Marina Silva é criticada e associada ao Itaú;270;270;469408;268;90;NA;NA;NA;3;1
Gauge;Sábado;2020-01-25;2020-01-29;NA;NA;Relações Políticas;Moderado;ALERTA 08627/20: (Moderado) Internautas associam o Itaú com o Luciano Huck;238;185;421781;184;48;NA;NA;NA;5;4
Gauge;Quinta;2020-01-23;2020-01-25;NA;NA;Produtos e Serviços;Moderado;ALERTA 06624/20: (Moderado) Influenciador relata problema com cartão de crédito;211;169;1053481;59;70;NA;NA;NA;3;1
Gauge;Quinta;2020-01-23;2020-01-25;NA;NA;Produtos e Serviços;Moderado;ALERTA 06625/20: (Moderado) YouTuber publica possível roubo na conta da namorada;209;168;1251571;91;105;NA;NA;NA;3;1
Gauge;Quinta;2020-01-23;2020-01-25;Clau de Luca;https://twitter.com/ClaudeLuca_/status/1220418329023778817;Relações Políticas;Moderado;ALERTA 08622/20: (Moderado) Itaú Cultural é associado à grupos de esquerda ligados à cultura;126;81;188407;122;42;NA;NA;NA;3;1
Gauge;Terça;2020-01-07;2020-01-12;NA;NA;Relações Políticas;Baixo;ALERTA 08607/20: (Baixo) Nova repercussão sobre a CPI da Sonegação Tributária;93;80;158935;64;16;NA;NA;NA;6;5
Gauge;Quinta;2020-01-16;2020-01-20;NA;NA;Relações Políticas;Baixo;ALERTA 08618/20: (Baixo) Internautas associam o Itaú com o exNAministro Roberto Alvim;59;49;83023;36;12;NA;NA;NA;5;2
Gauge;Terça;2020-01-14;2020-01-18;NA;NA;Institucional;Baixo;ALERTA 07616/20: (Baixo) Internautas dizem que Nubank é maior que o Itaú;54;53;110129;18;11;NA;NA;NA;5;1
Gauge;Domingo;2020-01-12;2020-01-13;NA;NA;Mobilidade;Baixo;ALERTA 09610/20: (Baixo) Denuncia de furto das bikes do Itaú;50;50;469231;49;25;NA;NA;NA;2;0
